#
# Sample name: Sample title.                                                   
# Sample id:   
# Sample type: 
# User name:   
# Sample description: 
#
# Start time:    2019-09-13, 14:35:32
# Real time (s): 516.628
# Live time (s): 300.000
#
# Total counts:  33020397
#
# Left marker:  237 (458.873 keV)
# Right marker: 274 (534.434 keV)
# Counts:  881395
#
# Energy calibration coefficients ( E = sum(Ai * n**i) )
#     A0: -25.120346
#     A1: 2.042167
#     A2: 0.000000
#     A3: 0.000000
# Energy unit: keV
#
# Channel data
# n	energy	counts	rate
#-----------------------------------------------------------------------
741	1488.126	3	0.01
742	1490.168	2	0.00666667
743	1492.210	4	0.0133333
744	1494.252	2	0.00666667
745	1496.294	2	0.00666667
746	1498.337	2	0.00666667
747	1500.379	3	0.01
748	1502.421	2	0.00666667
749	1504.463	1	0.00333333
750	1506.505	1	0.00333333
751	1508.547	1	0.00333333
752	1510.590	3	0.01
753	1512.632	1	0.00333333
754	1514.674	1	0.00333333
755	1516.716	1	0.00333333
756	1518.758	3	0.01
757	1520.800	0	0
758	1522.843	0	0
759	1524.885	2	0.00666667
760	1526.927	0	0
761	1528.969	0	0
762	1531.011	0	0
763	1533.053	0	0
764	1535.096	1	0.00333333
765	1537.138	2	0.00666667
766	1539.180	0	0
767	1541.222	1	0.00333333
768	1543.264	4	0.0133333
769	1545.306	5	0.0166667
770	1547.349	0	0
771	1549.391	3	0.01
772	1551.433	0	0
773	1553.475	2	0.00666667
774	1555.517	0	0
775	1557.559	3	0.01
776	1559.602	1	0.00333333
777	1561.644	2	0.00666667
778	1563.686	3	0.01
779	1565.728	2	0.00666667
780	1567.770	0	0
781	1569.812	4	0.0133333
782	1571.855	5	0.0166667
783	1573.897	5	0.0166667
784	1575.939	5	0.0166667
785	1577.981	0	0
786	1580.023	2	0.00666667
787	1582.065	1	0.00333333
788	1584.108	0	0
789	1586.150	2	0.00666667
790	1588.192	0	0
791	1590.234	0	0
792	1592.276	0	0
793	1594.318	1	0.00333333
794	1596.361	5	0.0166667
795	1598.403	2	0.00666667
796	1600.445	3	0.01
797	1602.487	0	0
798	1604.529	3	0.01
799	1606.571	0	0
800	1608.614	0	0
801	1610.656	3	0.01
802	1612.698	1	0.00333333
803	1614.740	0	0
804	1616.782	2	0.00666667
805	1618.824	0	0
806	1620.867	5	0.0166667
807	1622.909	3	0.01
808	1624.951	2	0.00666667
809	1626.993	2	0.00666667
810	1629.035	0	0
811	1631.077	3	0.01
812	1633.120	4	0.0133333
813	1635.162	1	0.00333333
814	1637.204	0	0
815	1639.246	5	0.0166667
816	1641.288	2	0.00666667
817	1643.330	1	0.00333333
818	1645.373	0	0
819	1647.415	0	0
820	1649.457	0	0
821	1651.499	0	0
822	1653.541	0	0
823	1655.583	2	0.00666667
824	1657.626	1	0.00333333
825	1659.668	4	0.0133333
826	1661.710	1	0.00333333
827	1663.752	2	0.00666667
828	1665.794	1	0.00333333
829	1667.836	0	0
830	1669.879	1	0.00333333
831	1671.921	1	0.00333333
832	1673.963	0	0
833	1676.005	2	0.00666667
834	1678.047	1	0.00333333
835	1680.089	0	0
836	1682.132	2	0.00666667
837	1684.174	0	0
838	1686.216	1	0.00333333
839	1688.258	2	0.00666667
840	1690.300	0	0
841	1692.342	1	0.00333333
842	1694.385	0	0
843	1696.427	2	0.00666667
844	1698.469	1	0.00333333
845	1700.511	2	0.00666667
846	1702.553	2	0.00666667
847	1704.595	0	0
848	1706.638	1	0.00333333
849	1708.680	1	0.00333333
850	1710.722	2	0.00666667
851	1712.764	0	0
852	1714.806	1	0.00333333
853	1716.848	1	0.00333333
854	1718.891	1	0.00333333
855	1720.933	2	0.00666667
856	1722.975	0	0
857	1725.017	1	0.00333333
858	1727.059	1	0.00333333
859	1729.101	0	0
860	1731.144	3	0.01
861	1733.186	1	0.00333333
862	1735.228	1	0.00333333
863	1737.270	3	0.01
864	1739.312	2	0.00666667
865	1741.354	1	0.00333333
866	1743.397	0	0
867	1745.439	1	0.00333333
868	1747.481	0	0
869	1749.523	4	0.0133333
870	1751.565	1	0.00333333
871	1753.607	1	0.00333333
872	1755.650	2	0.00666667
873	1757.692	2	0.00666667
874	1759.734	1	0.00333333
875	1761.776	1	0.00333333
876	1763.818	1	0.00333333
877	1765.860	0	0
878	1767.903	0	0
879	1769.945	2	0.00666667
880	1771.987	3	0.01
881	1774.029	0	0
882	1776.071	3	0.01
883	1778.113	0	0
884	1780.156	0	0
885	1782.198	1	0.00333333
886	1784.240	2	0.00666667
887	1786.282	1	0.00333333
888	1788.324	2	0.00666667
889	1790.366	2	0.00666667
890	1792.409	1	0.00333333
891	1794.451	2	0.00666667
892	1796.493	0	0
893	1798.535	0	0
894	1800.577	3	0.01
895	1802.619	2	0.00666667
896	1804.662	0	0
897	1806.704	2	0.00666667
898	1808.746	0	0
899	1810.788	1	0.00333333
900	1812.830	3	0.01
901	1814.873	2	0.00666667
902	1816.915	4	0.0133333
903	1818.957	2	0.00666667
904	1820.999	1	0.00333333
905	1823.041	2	0.00666667
906	1825.083	0	0
907	1827.126	4	0.0133333
908	1829.168	0	0
909	1831.210	4	0.0133333
